time,datetime_str,open,high,low,close,tick_volume,spread,real_volume
991612800,2001-06-04 00:00:00,266.5,268.4,264.6,266.0,711,0,0
991699200,2001-06-05 00:00:00,265.5,267.6,264.25,266.5,571,0,0
991785600,2001-06-06 00:00:00,266.0,268.3,264.8,266.5,651,0,0
991872000,2001-06-07 00:00:00,265.5,266.8,265.0,266.8,231,0,0
991958400,2001-06-08 00:00:00,266.3,275.5,265.6,274.0,1211,0,0
992217600,2001-06-11 00:00:00,273.0,274.25,266.1,268.4,1171,0,0
992304000,2001-06-12 00:00:00,267.8,273.25,266.6,272.0,911,0,0
992390400,2001-06-13 00:00:00,271.5,274.15,269.05,272.6,911,0,0
992476800,2001-06-14 00:00:00,272.15,277.4,270.45,276.25,981,0,0
992563200,2001-06-15 00:00:00,275.2,276.85,269.75,271.8,1081,0,0
992822400,2001-06-18 00:00:00,271.0,274.65,270.6,273.0,611,0,0
992908800,2001-06-19 00:00:00,272.15,275.5,271.55,273.9,616,0,0
992995200,2001-06-20 00:00:00,273.4,274.8,270.65,273.0,791,0,0
993081600,2001-06-21 00:00:00,272.5,274.65,270.85,273.2,691,0,0
993168000,2001-06-22 00:00:00,272.7,276.2,271.6,272.9,901,0,0
993427200,2001-06-25 00:00:00,272.3,275.65,272.15,274.2,511,0,0
993513600,2001-06-26 00:00:00,274.0,279.55,272.6,276.4,1151,0,0
993600000,2001-06-27 00:00:00,276.25,277.95,270.95,272.85,1061,0,0
993686400,2001-06-28 00:00:00,272.35,276.0,267.3,269.5,1456,0,0
993772800,2001-06-29 00:00:00,269.25,272.65,268.75,271.1,596,0,0
994032000,2001-07-02 00:00:00,270.6,271.45,267.4,269.8,731,0,0
994118400,2001-07-03 00:00:00,269.3,272.5,267.25,268.0,921,0,0
994204800,2001-07-04 00:00:00,267.5,269.15,267.15,268.2,331,0,0
994291200,2001-07-05 00:00:00,267.7,268.95,264.45,265.6,691,0,0
994377600,2001-07-06 00:00:00,265.1,267.9,264.15,266.5,611,0,0
994636800,2001-07-09 00:00:00,266.5,267.65,265.1,266.9,471,0,0
994723200,2001-07-10 00:00:00,266.4,268.25,265.6,266.6,511,0,0
994809600,2001-07-11 00:00:00,266.1,270.35,265.5,268.7,711,0,0
994896000,2001-07-12 00:00:00,268.75,269.25,265.25,267.1,636,0,0
994982400,2001-07-13 00:00:00,266.6,268.3,265.65,267.6,431,0,0
995241600,2001-07-16 00:00:00,266.95,269.75,266.25,267.75,621,0,0
995328000,2001-07-17 00:00:00,266.75,268.1,266.25,268.1,236,0,0
995414400,2001-07-18 00:00:00,268.1,271.6,266.75,271.0,681,0,0
995500800,2001-07-19 00:00:00,270.75,272.35,267.25,269.8,926,0,0
995587200,2001-07-20 00:00:00,268.75,271.85,268.35,270.3,546,0,0
995846400,2001-07-23 00:00:00,270.15,270.8,268.25,269.1,406,0,0
995932800,2001-07-24 00:00:00,268.6,270.65,267.95,270.0,401,0,0
996019200,2001-07-25 00:00:00,269.5,270.25,266.75,268.2,571,0,0
996105600,2001-07-26 00:00:00,267.5,269.0,265.35,266.7,651,0,0
996192000,2001-07-27 00:00:00,266.2,268.45,265.0,267.8,531,0,0
996451200,2001-07-30 00:00:00,267.6,268.75,264.45,265.5,651,0,0
996537600,2001-07-31 00:00:00,265.0,267.65,264.0,267.1,521,0,0
996624000,2001-08-01 00:00:00,266.6,269.25,265.9,268.2,511,0,0
996710400,2001-08-02 00:00:00,267.7,269.1,266.65,268.3,431,0,0
996796800,2001-08-03 00:00:00,267.8,269.55,266.25,268.8,561,0,0
997056000,2001-08-06 00:00:00,268.5,269.25,266.65,268.0,471,0,0
997142400,2001-08-07 00:00:00,267.15,268.45,265.75,267.9,466,0,0
997228800,2001-08-08 00:00:00,267.4,269.25,265.75,268.6,581,0,0
997315200,2001-08-09 00:00:00,267.6,273.9,266.6,273.9,831,0,0
997401600,2001-08-10 00:00:00,273.9,277.55,272.1,274.8,1001,0,0
997660800,2001-08-13 00:00:00,273.5,277.9,273.5,276.2,611,0,0
997747200,2001-08-14 00:00:00,275.2,276.5,273.0,276.5,571,0,0
997833600,2001-08-15 00:00:00,276.5,278.45,274.25,276.1,801,0,0
997920000,2001-08-16 00:00:00,275.6,277.35,274.15,275.6,641,0,0
998006400,2001-08-17 00:00:00,275.1,281.7,274.4,279.5,1021,0,0
998265600,2001-08-20 00:00:00,279.0,280.05,275.35,276.3,671,0,0
998352000,2001-08-21 00:00:00,275.8,279.0,273.45,275.3,1061,0,0
998438400,2001-08-22 00:00:00,274.8,278.55,273.95,275.0,901,0,0
998524800,2001-08-23 00:00:00,274.5,276.9,273.75,275.6,521,0,0
998611200,2001-08-24 00:00:00,275.1,276.35,271.55,273.1,761,0,0
998870400,2001-08-27 00:00:00,272.25,274.95,270.95,273.1,716,0,0
998956800,2001-08-28 00:00:00,272.55,273.25,270.15,272.55,621,0,0
999043200,2001-08-29 00:00:00,272.0,274.85,271.7,273.9,441,0,0
999129600,2001-08-30 00:00:00,273.0,275.05,271.75,275.05,456,0,0
999216000,2001-08-31 00:00:00,274.95,276.75,271.95,274.7,936,0,0
999475200,2001-09-03 00:00:00,274.45,274.95,272.6,273.75,401,0,0
999561600,2001-09-04 00:00:00,273.25,274.25,270.75,272.4,616,0,0
999648000,2001-09-05 00:00:00,271.55,273.25,270.7,272.3,436,0,0
999734400,2001-09-06 00:00:00,271.8,274.15,270.75,273.4,521,0,0
999820800,2001-09-07 00:00:00,272.9,275.25,271.7,273.4,661,0,0
1000080000,2001-09-10 00:00:00,273.0,274.1,270.45,272.0,631,0,0
1000166400,2001-09-11 00:00:00,271.5,296.0,270.8,287.0,3491,0,0
1000252800,2001-09-12 00:00:00,286.0,293.0,275.5,278.5,2751,0,0
1000339200,2001-09-13 00:00:00,278.0,284.0,275.5,281.5,1351,0,0
1000425600,2001-09-14 00:00:00,281.0,291.0,278.0,285.8,2121,0,0
1000684800,2001-09-17 00:00:00,288.0,296.0,283.75,290.5,2201,0,0
1000771200,2001-09-18 00:00:00,289.4,292.0,285.12,288.0,1237,0,0
1000857600,2001-09-19 00:00:00,287.5,293.3,286.0,290.4,1171,0,0
1000944000,2001-09-20 00:00:00,289.9,291.5,286.9,288.9,821,0,0
1001030400,2001-09-21 00:00:00,288.4,296.1,287.5,291.7,1391,0,0
1001289600,2001-09-24 00:00:00,290.5,293.5,286.7,289.5,1261,0,0
1001376000,2001-09-25 00:00:00,289.0,291.25,286.5,290.0,851,0,0
1001462400,2001-09-26 00:00:00,289.5,294.4,286.75,293.3,1151,0,0
1001548800,2001-09-27 00:00:00,292.8,293.93,288.5,292.2,1027,0,0
1001635200,2001-09-28 00:00:00,291.7,294.65,289.4,293.45,876,0,0
1001894400,2001-10-01 00:00:00,292.0,293.7,289.8,291.95,776,0,0
1001980800,2001-10-02 00:00:00,291.45,293.5,288.3,289.7,866,0,0
1002067200,2001-10-03 00:00:00,289.2,293.5,288.62,289.7,927,0,0
1002153600,2001-10-04 00:00:00,289.2,292.7,288.1,290.1,831,0,0
1002240000,2001-10-05 00:00:00,289.6,292.88,289.5,291.2,517,0,0
1002499200,2001-10-08 00:00:00,290.75,294.62,290.2,292.15,745,0,0
1002585600,2001-10-09 00:00:00,291.65,293.5,287.5,288.25,861,0,0
1002672000,2001-10-10 00:00:00,287.75,291.25,283.5,285.1,1286,0,0
1002758400,2001-10-11 00:00:00,284.6,288.7,279.7,281.5,1491,0,0
1002844800,2001-10-12 00:00:00,282.2,286.6,281.0,284.7,871,0,0
1003104000,2001-10-15 00:00:00,284.2,286.25,280.9,281.7,821,0,0
1003190400,2001-10-16 00:00:00,281.3,284.25,280.3,281.6,761,0,0
1003276800,2001-10-17 00:00:00,281.1,285.0,280.55,282.7,731,0,0
1003363200,2001-10-18 00:00:00,282.2,284.3,277.3,279.7,1151,0,0
1003449600,2001-10-19 00:00:00,279.2,283.6,277.2,279.9,1211,0,0
1003708800,2001-10-22 00:00:00,279.4,280.0,274.7,275.8,701,0,0
1003795200,2001-10-23 00:00:00,275.3,278.7,273.95,276.2,861,0,0
1003881600,2001-10-24 00:00:00,275.7,277.2,274.77,275.6,477,0,0
1003968000,2001-10-25 00:00:00,275.2,278.07,274.6,277.5,465,0,0
1004054400,2001-10-26 00:00:00,276.5,278.4,276.0,277.6,371,0,0
1004313600,2001-10-29 00:00:00,277.1,279.9,276.65,279.4,421,0,0
1004400000,2001-10-30 00:00:00,278.9,282.0,278.6,280.75,496,0,0
1004486400,2001-10-31 00:00:00,280.25,282.5,277.8,279.75,891,0,0
1004572800,2001-11-01 00:00:00,279.25,281.8,278.15,279.9,666,0,0
1004659200,2001-11-02 00:00:00,279.05,281.3,278.8,280.2,386,0,0
1004918400,2001-11-05 00:00:00,279.7,280.65,277.35,279.3,621,0,0
1005004800,2001-11-06 00:00:00,278.3,280.4,277.85,280.4,301,0,0
1005091200,2001-11-07 00:00:00,280.25,281.6,278.6,281.0,526,0,0
1005177600,2001-11-08 00:00:00,280.3,281.25,276.05,277.3,741,0,0
1005264000,2001-11-09 00:00:00,276.8,280.8,276.0,277.95,846,0,0
1005523200,2001-11-12 00:00:00,277.2,282.5,277.0,278.65,956,0,0
1005609600,2001-11-13 00:00:00,278.15,280.6,275.6,277.8,966,0,0
1005696000,2001-11-14 00:00:00,277.3,280.05,276.55,278.0,631,0,0
1005782400,2001-11-15 00:00:00,277.6,278.6,274.15,275.6,691,0,0
1005868800,2001-11-16 00:00:00,275.1,277.35,273.45,275.1,781,0,0
1006128000,2001-11-19 00:00:00,274.6,276.25,271.85,273.0,721,0,0
1006214400,2001-11-20 00:00:00,272.6,275.0,272.05,273.75,476,0,0
1006300800,2001-11-21 00:00:00,273.0,274.35,271.7,273.4,491,0,0
1006387200,2001-11-22 00:00:00,272.8,274.05,271.85,273.1,411,0,0
1006473600,2001-11-23 00:00:00,272.6,273.9,272.0,273.15,326,0,0
1006732800,2001-11-26 00:00:00,272.8,274.1,272.0,273.2,381,0,0
1006819200,2001-11-27 00:00:00,272.8,274.4,272.25,273.7,341,0,0
1006905600,2001-11-28 00:00:00,273.3,275.9,273.1,274.8,411,0,0
1006992000,2001-11-29 00:00:00,274.2,276.35,273.05,274.5,631,0,0
1007078400,2001-11-30 00:00:00,273.4,276.55,273.1,274.65,566,0,0
1007337600,2001-12-03 00:00:00,274.15,278.7,274.0,277.6,596,0,0
1007424000,2001-12-04 00:00:00,277.1,278.05,275.05,276.0,491,0,0
1007510400,2001-12-05 00:00:00,275.5,277.1,273.25,274.7,691,0,0
1007596800,2001-12-06 00:00:00,273.8,277.1,273.1,275.05,676,0,0
1007683200,2001-12-07 00:00:00,274.0,275.75,273.25,274.8,421,0,0
1007942400,2001-12-10 00:00:00,274.3,275.2,270.95,273.0,721,0,0
1008028800,2001-12-11 00:00:00,272.6,273.75,271.35,273.1,431,0,0
1008115200,2001-12-12 00:00:00,272.0,274.3,271.9,274.3,251,0,0
1008201600,2001-12-13 00:00:00,273.8,274.25,273.25,274.25,156,0,0
1008288000,2001-12-14 00:00:00,274.25,279.95,273.55,278.7,836,0,0
1008547200,2001-12-17 00:00:00,277.35,279.3,276.15,278.6,506,0,0
1008633600,2001-12-18 00:00:00,278.0,281.75,277.55,280.7,571,0,0
